Id,Label,Interval,Degree,modularity_Class,stat_inf_Class
1,,,419,2,186
1032,,,5,2,50
1073,,,251,2,16
1080,,,179,0,166
1089,,,363,0,65
1090,,,89,0,13
1097,,,272,0,67
110,,,358,2,91
1127,,,78,0,34
1136,,,357,0,209
1196,,,562,0,20
1197,,,346,0,219
1198,,,494,0,69
1206,,,268,0,176
1208,,,247,0,66
1210,,,515,0,68
1213,,,301,0,106
1214,,,345,0,143
1220,,,185,0,2
1222,,,229,0,115
1240,,,330,0,210
1258,,,242,0,147
1265,,,394,0,4
1270,,,434,0,197
1278,,,113,0,213
1282,,,51,0,95
1291,,,386,0,102
1377,,,32,0,180
1396,,,23,0,67
1500,,,49,0,167
1517,,,223,0,15
1552,,,44,2,19
1573,,,109,0,29
1580,,,373,0,132
1617,,,198,0,1
1625,,,75,0,171
163,,,61,2,94
1676,,,127,0,49
1732,,,263,0,183
1777,,,49,0,105
1954,,,121,0,30
1967,,,30,0,62
2000,,,166,0,19
2005,,,68,0,17
2012,,,181,0,104
2018,,,3,2,50
2028,,,430,0,73
2054,,,25,0,28
2078,,,65,0,181
2105,,,49,0,34
2115,,,305,0,99
2174,,,206,0,28
223,,,189,0,13
2268,,,78,0,23
2291,,,193,0,35
231,,,123,2,137
2329,,,265,1,188
235,,,56,2,92
2353,,,73,0,21
2395,,,35,0,28
2406,,,40,0,19
2470,,,55,0,7
2502,,,243,0,22
2529,,,98,0,126
2542,,,129,0,31
2571,,,597,1,114
260,,,581,0,64
2628,,,226,0,21
2640,,,90,0,133
2641,,,9,0,114
2657,,,53,0,184
2692,,,133,0,218
2700,,,157,0,17
2716,,,315,0,33
2761,,,14,0,100
2797,,,238,0,39
2858,,,428,0,40
2916,,,186,0,169
2947,,,99,0,7
2948,,,22,0,7
2959,,,472,1,51
296,,,566,2,43
2985,,,113,0,34
2987,,,237,0,77
2997,,,254,0,46
3,,,10,2,61
3033,,,103,0,2
3052,,,156,1,182
3147,,,249,1,37
316,,,203,2,84
3253,,,94,0,52
3489,,,70,0,196
349,,,96,2,94
3527,,,75,0,49
356,,,651,2,70
3578,,,374,1,111
367,,,226,2,44
3671,,,82,0,63
3793,,,334,1,141
457,,,340,2,83
47,,,428,2,120
480,,,452,2,11
50,,,436,0,58
500,,,242,2,50
5060,,,28,0,53
527,,,379,2,179
553,,,46,2,93
590,,,233,2,55
592,,,308,2,45
593,,,526,2,101
596,,,27,2,184
6,,,193,2,144
608,,,418,0,57
648,,,297,2,0
661,,,8,2,61
733,,,221,2,52
736,,,98,2,60
780,,,336,2,61
919,,,223,0,62
923,,,119,0,126
1042,,,1,2,70
1060,,,1,0,64
1092,,,9,2,5
2580,,,12,0,225
3448,,,17,0,4
3702,,,17,0,66
3703,,,24,0,10
441,,,25,0,22
70,,,42,0,115
2161,,,12,0,67
1275,,,22,0,10
151,,,12,2,55
333,,,13,2,137
552,,,31,2,89
1408,,,12,0,225
2094,,,6,0,64
2193,,,5,0,114
2273,,,8,0,4
2944,,,4,0,73
2949,,,16,0,7
3034,,,4,0,64
3386,,,1,0,69
216,,,4,2,216
3617,,,1,2,70
106782,,,31,1,153
109487,,,87,1,153
1704,,,334,1,201
318,,,554,1,56
48516,,,251,1,119
58559,,,308,1,71
68157,,,162,1,75
6874,,,352,1,229
74458,,,73,1,153
79132,,,249,1,74
91529,,,110,1,153
99114,,,86,1,157
112552,,,6,1,153
122882,,,26,1,152
8798,,,56,1,107
71535,,,66,1,110
1219,,,164,0,9
1225,,,121,0,63
1259,,,189,0,170
1288,,,95,0,47
1923,,,238,0,79
1968,,,280,0,174
2683,,,216,0,105
2762,,,390,0,217
2791,,,179,0,42
357,,,139,2,92
368,,,70,2,54
3897,,,176,0,76
3911,,,53,0,78
3996,,,221,0,135
4027,,,191,0,172
4246,,,77,1,92
4896,,,250,1,24
588,,,344,2,208
595,,,251,2,86
708,,,20,2,89
899,,,24,0,181
904,,,151,0,80
912,,,185,0,81
4034,,,117,0,78
1084,,,3,2,43
1094,,,9,2,114
1203,,,40,0,80
1266,,,54,0,13
1304,,,62,0,53
